ASSERTION	AAEBAAEFAAAAAAAAwGJA
ASSERTION	AAECAAIFAAAAAAAAAAAA
ASSERTION	AAMAARB0cmFuc2Zlci1yZXF1ZXN0AgADBQAAAAAAAABZQA==
RUN	parabank.TransferTest	transfertest	1777157027478	 	3.3.1
USER	Transfer Test	48	END	1777157028312	1777157028853
REQUEST	22		transfer-request	1777157028434	1777157028853	OK	 
USER	Transfer Test	22	END	1777157028290	1777157028855
REQUEST	14		transfer-request	1777157028414	1777157028864	OK	 
USER	Transfer Test	14	END	1777157028282	1777157028865
REQUEST	27		transfer-request	1777157028443	1777157028864	OK	 
USER	Transfer Test	27	END	1777157028291	1777157028867
REQUEST	17		transfer-request	1777157028422	1777157028882	OK	 
USER	Transfer Test	17	END	1777157028282	1777157028886
REQUEST	31		transfer-request	1777157028444	1777157028887	OK	 
USER	Transfer Test	31	END	1777157028300	1777157028887
REQUEST	71		transfer-request	1777157028507	1777157028888	OK	 
USER	Transfer Test	71	END	1777157028322	1777157028888
REQUEST	29		transfer-request	1777157028443	1777157028893	OK	 
USER	Transfer Test	29	END	1777157028299	1777157028894
REQUEST	75		transfer-request	1777157028512	1777157028903	OK	 
REQUEST	64		transfer-request	1777157028524	1777157028904	OK	 
USER	Transfer Test	64	END	1777157028318	1777157028905
USER	Transfer Test	75	END	1777157028323	1777157028905
REQUEST	79		transfer-request	1777157028513	1777157028907	OK	 
USER	Transfer Test	79	END	1777157028325	1777157028908
REQUEST	56		transfer-request	1777157028493	1777157028932	OK	 
USER	Transfer Test	56	END	1777157028313	1777157028933
REQUEST	10		transfer-request	1777157028494	1777157028940	OK	 
USER	Transfer Test	10	END	1777157028276	1777157028942
REQUEST	88		transfer-request	1777157028531	1777157028945	OK	 
USER	Transfer Test	88	END	1777157028330	1777157028946
REQUEST	95		transfer-request	1777157028538	1777157028952	OK	 
REQUEST	118		transfer-request	1777157028559	1777157028954	OK	 
REQUEST	94		transfer-request	1777157028538	1777157028955	OK	 
USER	Transfer Test	95	END	1777157028331	1777157028953
USER	Transfer Test	118	END	1777157028342	1777157028955
USER	Transfer Test	94	END	1777157028331	1777157028956
REQUEST	93		transfer-request	1777157028536	1777157028962	OK	 
REQUEST	92		transfer-request	1777157028535	1777157028964	OK	 
USER	Transfer Test	93	END	1777157028331	1777157028963
USER	Transfer Test	92	END	1777157028331	1777157028965
REQUEST	106		transfer-request	1777157028546	1777157028975	OK	 
USER	Transfer Test	106	END	1777157028339	1777157028976
REQUEST	98		transfer-request	1777157028539	1777157028986	OK	 
REQUEST	78		transfer-request	1777157028524	1777157028987	OK	 
USER	Transfer Test	98	END	1777157028332	1777157028986
REQUEST	23		transfer-request	1777157028434	1777157028987	OK	 
