ASSERTION	AAMAAQpsb2dpbi1wZWFrAwABBAAAAAAAAMBXQAEAAAAAAACIs0A=
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.Login200Test	login200test	1777156522795	 	3.3.1
USER	Login - 200 Concurrentes	250	START	1777156523928	1777156523928
REQUEST	43		login-peak	1777156523728	1777156523933	OK	 
REQUEST	207		login-peak	1777156523730	1777156523934	OK	 
USER	Login - 200 Concurrentes	43	END	1777156523728	1777156523934
USER	Login - 200 Concurrentes	209	END	1777156523730	1777156523935
REQUEST	214		login-peak	1777156523745	1777156523938	OK	 
USER	Login - 200 Concurrentes	251	START	1777156523938	1777156523938
USER	Login - 200 Concurrentes	214	END	1777156523745	1777156523938
REQUEST	212		login-peak	1777156523733	1777156523939	OK	 
USER	Login - 200 Concurrentes	252	START	1777156523939	1777156523939
REQUEST	213		login-peak	1777156523735	1777156523936	OK	 
REQUEST	211		login-peak	1777156523732	1777156523941	OK	 
USER	Login - 200 Concurrentes	249	START	1777156523936	1777156523936
USER	Login - 200 Concurrentes	212	END	1777156523733	1777156523939
USER	Login - 200 Concurrentes	207	END	1777156523729	1777156523941
USER	Login - 200 Concurrentes	213	END	1777156523735	1777156523941
REQUEST	46		login-peak	1777156523750	1777156523943	OK	 
USER	Login - 200 Concurrentes	211	END	1777156523732	1777156523942
USER	Login - 200 Concurrentes	46	END	1777156523749	1777156523944
USER	Login - 200 Concurrentes	81	START	1777156523943	1777156523943
USER	Login - 200 Concurrentes	254	START	1777156523946	1777156523946
USER	Login - 200 Concurrentes	83	START	1777156523943	1777156523943
REQUEST	216		login-peak	1777156523748	1777156523949	OK	 
USER	Login - 200 Concurrentes	256	START	1777156523949	1777156523949
REQUEST	220		login-peak	1777156523756	1777156523950	OK	 
USER	Login - 200 Concurrentes	247	START	1777156523935	1777156523935
USER	Login - 200 Concurrentes	216	END	1777156523748	1777156523949
USER	Login - 200 Concurrentes	220	END	1777156523755	1777156523950
USER	Login - 200 Concurrentes	257	START	1777156523951	1777156523951
USER	Login - 200 Concurrentes	255	START	1777156523947	1777156523947
USER	Login - 200 Concurrentes	259	START	1777156523952	1777156523952
USER	Login - 200 Concurrentes	258	START	1777156523952	1777156523952
USER	Login - 200 Concurrentes	84	START	1777156523944	1777156523944
USER	Login - 200 Concurrentes	86	START	1777156523954	1777156523954
USER	Login - 200 Concurrentes	87	START	1777156523954	1777156523954
REQUEST	205		login-peak	1777156523719	1777156523953	OK	 
REQUEST	47		login-peak	1777156523750	1777156523955	OK	 
USER	Login - 200 Concurrentes	47	END	1777156523750	1777156523956
USER	Login - 200 Concurrentes	205	END	1777156523719	1777156523958
USER	Login - 200 Concurrentes	260	START	1777156523952	1777156523952
USER	Login - 200 Concurrentes	261	START	1777156523959	1777156523959
USER	Login - 200 Concurrentes	262	START	1777156523959	1777156523959
REQUEST	218		login-peak	1777156523755	1777156523944	OK	 
REQUEST	53		login-peak	1777156523776	1777156523959	OK	 
REQUEST	222		login-peak	1777156523760	1777156523960	OK	 
USER	Login - 200 Concurrentes	218	END	1777156523755	1777156523960
USER	Login - 200 Concurrentes	53	END	1777156523775	1777156523960
USER	Login - 200 Concurrentes	263	START	1777156523961	1777156523961
USER	Login - 200 Concurrentes	264	START	1777156523961	1777156523961
USER	Login - 200 Concurrentes	85	START	1777156523944	1777156523944
USER	Login - 200 Concurrentes	88	START	1777156523964	1777156523964
USER	Login - 200 Concurrentes	89	START	1777156523964	1777156523964
REQUEST	49		login-peak	1777156523755	1777156523966	OK	 
USER	Login - 200 Concurrentes	222	END	1777156523760	1777156523962
REQUEST	42		login-peak	1777156523727	1777156523967	OK	 
USER	Login - 200 Concurrentes	265	START	1777156523967	1777156523967
USER	Login - 200 Concurrentes	42	END	1777156523726	1777156523967
USER	Login - 200 Concurrentes	266	START	1777156523968	1777156523968
USER	Login - 200 Concurrentes	82	START	1777156523943	1777156523943
USER	Login - 200 Concurrentes	49	END	1777156523754	1777156523966
USER	Login - 200 Concurrentes	267	START	1777156523970	1777156523970
REQUEST	57		login-peak	1777156523796	1777156523970	OK	 
REQUEST	44		login-peak	1777156523735	1777156523971	OK	 
USER	Login - 200 Concurrentes	57	END	1777156523796	1777156523971
USER	Login - 200 Concurrentes	44	END	1777156523734	1777156523971
USER	Login - 200 Concurrentes	268	START	1777156523972	1777156523972
USER	Login - 200 Concurrentes	269	START	1777156523972	1777156523972
REQUEST	61		login-peak	1777156523825	1777156523973	OK	 
USER	Login - 200 Concurrentes	90	START	1777156523974	1777156523974
USER	Login - 200 Concurrentes	91	START	1777156523974	1777156523974
USER	Login - 200 Concurrentes	80	START	1777156523943	1777156523943
USER	Login - 200 Concurrentes	253	START	1777156523939	1777156523939
USER	Login - 200 Concurrentes	61	END	1777156523824	1777156523983
USER	Login - 200 Concurrentes	270	START	1777156523984	1777156523984
USER	Login - 200 Concurrentes	92	START	1777156523985	1777156523985
USER	Login - 200 Concurrentes	93	START	1777156523985	1777156523985
REQUEST	229		login-peak	1777156523830	1777156523984	OK	 
USER	Login - 200 Concurrentes	229	END	1777156523829	1777156523986
USER	Login - 200 Concurrentes	271	START	1777156523986	1777156523986
REQUEST	224		login-peak	1777156523776	1777156523988	OK	 
REQUEST	52		login-peak	1777156523775	1777156523989	OK	 
USER	Login - 200 Concurrentes	224	END	1777156523775	1777156523988
USER	Login - 200 Concurrentes	272	START	1777156523989	1777156523989
REQUEST	59		login-peak	1777156523815	1777156523992	OK	 
USER	Login - 200 Concurrentes	59	END	1777156523814	1777156523993
USER	Login - 200 Concurrentes	273	START	1777156523993	1777156523993
USER	Login - 200 Concurrentes	94	START	1777156523994	1777156523994
REQUEST	50		login-peak	1777156523766	1777156523995	OK	 
USER	Login - 200 Concurrentes	50	END	1777156523765	1777156523995
USER	Login - 200 Concurrentes	274	START	1777156523995	1777156523995
USER	Login - 200 Concurrentes	95	START	1777156523994	1777156523994
USER	Login - 200 Concurrentes	52	END	1777156523774	1777156523997
USER	Login - 200 Concurrentes	275	START	1777156523999	1777156523999
REQUEST	55		login-peak	1777156523784	1777156523997	OK	 
REQUEST	226		login-peak	1777156523784	1777156524009	OK	 
USER	Login - 200 Concurrentes	226	END	1777156523783	1777156524009
USER	Login - 200 Concurrentes	276	START	1777156524010	1777156524010
USER	Login - 200 Concurrentes	98	START	1777156524013	1777156524013
USER	Login - 200 Concurrentes	99	START	1777156524014	1777156524014
REQUEST	58		login-peak	1777156523806	1777156524019	OK	 
USER	Login - 200 Concurrentes	58	END	1777156523805	1777156524019
REQUEST	54		login-peak	1777156523784	1777156524020	OK	 
USER	Login - 200 Concurrentes	277	START	1777156524020	1777156524020
USER	Login - 200 Concurrentes	54	END	1777156523784	1777156524020
USER	Login - 200 Concurrentes	278	START	1777156524021	1777156524021
USER	Login - 200 Concurrentes	96	START	1777156524004	1777156524004
USER	Login - 200 Concurrentes	100	START	1777156524024	1777156524024
USER	Login - 200 Concurrentes	101	START	1777156524025	1777156524025
REQUEST	65		login-peak	1777156523846	1777156524025	OK	 
REQUEST	228		login-peak	1777156523816	1777156524026	OK	 
REQUEST	69		login-peak	1777156523864	1777156524027	OK	 
USER	Login - 200 Concurrentes	65	END	1777156523845	1777156524026
USER	Login - 200 Concurrentes	228	END	1777156523816	1777156524027
USER	Login - 200 Concurrentes	69	END	1777156523864	1777156524027
USER	Login - 200 Concurrentes	279	START	1777156524028	1777156524028
USER	Login - 200 Concurrentes	280	START	1777156524028	1777156524028
USER	Login - 200 Concurrentes	281	START	1777156524029	1777156524029
REQUEST	56		login-peak	1777156523796	1777156524031	OK	 
REQUEST	233		login-peak	1777156523867	1777156524031	OK	 
USER	Login - 200 Concurrentes	56	END	1777156523795	1777156524031
USER	Login - 200 Concurrentes	282	START	1777156524032	1777156524032
REQUEST	219		login-peak	1777156523755	1777156524032	OK	 
USER	Login - 200 Concurrentes	55	END	1777156523784	1777156524032
USER	Login - 200 Concurrentes	219	END	1777156523755	1777156524033
USER	Login - 200 Concurrentes	233	END	1777156523867	1777156524033
USER	Login - 200 Concurrentes	283	START	1777156524035	1777156524035
USER	Login - 200 Concurrentes	285	START	1777156524036	1777156524036
USER	Login - 200 Concurrentes	102	START	1777156524036	1777156524036
USER	Login - 200 Concurrentes	103	START	1777156524037	1777156524037
REQUEST	64		login-peak	1777156523846	1777156524038	OK	 
USER	Login - 200 Concurrentes	64	END	1777156523846	1777156524038
REQUEST	60		login-peak	1777156523824	1777156524039	OK	 
USER	Login - 200 Concurrentes	286	START	1777156524039	1777156524039
USER	Login - 200 Concurrentes	60	END	1777156523824	1777156524039
REQUEST	51		login-peak	1777156523766	1777156524033	OK	 
USER	Login - 200 Concurrentes	287	START	1777156524040	1777156524040
USER	Login - 200 Concurrentes	51	END	1777156523766	1777156524040
REQUEST	227		login-peak	1777156523790	1777156524040	OK	 
USER	Login - 200 Concurrentes	288	START	1777156524040	1777156524040
USER	Login - 200 Concurrentes	227	END	1777156523789	1777156524041
USER	Login - 200 Concurrentes	289	START	1777156524041	1777156524041
USER	Login - 200 Concurrentes	97	START	1777156524004	1777156524004
USER	Login - 200 Concurrentes	284	START	1777156524035	1777156524035
USER	Login - 200 Concurrentes	104	START	1777156524047	1777156524047
USER	Login - 200 Concurrentes	105	START	1777156524047	1777156524047
USER	Login - 200 Concurrentes	107	START	1777156524055	1777156524055
USER	Login - 200 Concurrentes	106	START	1777156524055	1777156524055
REQUEST	66		login-peak	1777156523854	1777156524058	OK	 
USER	Login - 200 Concurrentes	66	END	1777156523853	1777156524059
USER	Login - 200 Concurrentes	290	START	1777156524059	1777156524059
REQUEST	225		login-peak	1777156523782	1777156524060	OK	 
USER	Login - 200 Concurrentes	225	END	1777156523782	1777156524063
USER	Login - 200 Concurrentes	291	START	1777156524063	1777156524063
REQUEST	237		login-peak	1777156523877	1777156524065	OK	 
USER	Login - 200 Concurrentes	237	END	1777156523877	1777156524065
REQUEST	230		login-peak	1777156523843	1777156524066	OK	 
USER	Login - 200 Concurrentes	292	START	1777156524066	1777156524066
USER	Login - 200 Concurrentes	108	START	1777156524066	1777156524066
REQUEST	62		login-peak	1777156523834	1777156524066	OK	 
USER	Login - 200 Concurrentes	109	START	1777156524067	1777156524067
REQUEST	234		login-peak	1777156523871	1777156524067	OK	 
USER	Login - 200 Concurrentes	230	END	1777156523843	1777156524066
USER	Login - 200 Concurrentes	62	END	1777156523834	1777156524067
USER	Login - 200 Concurrentes	293	START	1777156524068	1777156524068
USER	Login - 200 Concurrentes	294	START	1777156524068	1777156524068
USER	Login - 200 Concurrentes	234	END	1777156523870	1777156524074
REQUEST	206		login-peak	1777156523720	1777156524074	OK	 
USER	Login - 200 Concurrentes	295	START	1777156524074	1777156524074
USER	Login - 200 Concurrentes	206	END	1777156523719	1777156524075
USER	Login - 200 Concurrentes	296	START	1777156524075	1777156524075
USER	Login - 200 Concurrentes	110	START	1777156524075	1777156524075
USER	Login - 200 Concurrentes	111	START	1777156524076	1777156524076
REQUEST	48		login-peak	1777156523755	1777156524077	OK	 
USER	Login - 200 Concurrentes	48	END	1777156523754	1777156524077
USER	Login - 200 Concurrentes	297	START	1777156524078	1777156524078
REQUEST	223		login-peak	1777156523773	1777156524081	OK	 
REQUEST	63		login-peak	1777156523835	1777156524082	OK	 
USER	Login - 200 Concurrentes	223	END	1777156523773	1777156524081
USER	Login - 200 Concurrentes	63	END	1777156523834	1777156524082
USER	Login - 200 Concurrentes	298	START	1777156524083	1777156524083
USER	Login - 200 Concurrentes	299	START	1777156524084	1777156524084
REQUEST	236		login-peak	1777156523875	1777156524084	OK	 
USER	Login - 200 Concurrentes	112	START	1777156524084	1777156524084
USER	Login - 200 Concurrentes	113	START	1777156524084	1777156524084
USER	Login - 200 Concurrentes	236	END	1777156523875	1777156524085
REQUEST	68		login-peak	1777156523864	1777156524085	OK	 
REQUEST	232		login-peak	1777156523857	1777156524086	OK	 
USER	Login - 200 Concurrentes	68	END	1777156523864	1777156524085
USER	Login - 200 Concurrentes	301	START	1777156524087	1777156524087
USER	Login - 200 Concurrentes	232	END	1777156523856	1777156524086
USER	Login - 200 Concurrentes	300	START	1777156524085	1777156524085
REQUEST	71		login-peak	1777156523876	1777156524090	OK	 
REQUEST	235		login-peak	1777156523871	1777156524091	OK	 
REQUEST	215		login-peak	1777156523745	1777156524092	OK	 
USER	Login - 200 Concurrentes	71	END	1777156523876	1777156524091
USER	Login - 200 Concurrentes	235	END	1777156523871	1777156524092
USER	Login - 200 Concurrentes	303	START	1777156524093	1777156524093
USER	Login - 200 Concurrentes	304	START	1777156524093	1777156524093
USER	Login - 200 Concurrentes	302	START	1777156524089	1777156524089
USER	Login - 200 Concurrentes	115	START	1777156524095	1777156524095
REQUEST	231		login-peak	1777156523853	1777156524097	OK	 
USER	Login - 200 Concurrentes	215	END	1777156523745	1777156524096
USER	Login - 200 Concurrentes	305	START	1777156524097	1777156524097
USER	Login - 200 Concurrentes	114	START	1777156524097	1777156524097
REQUEST	67		login-peak	1777156523856	1777156524102	OK	 
USER	Login - 200 Concurrentes	231	END	1777156523853	1777156524102
