ASSERTION	AAMAARFhY2NvdW50LXN0YXRlbWVudAMAAQQAAAAAAADAV0ABAAAAAAAAcKdA
ASSERTION	AAECAAIBAAAAAAAAAPA/
RUN	parabank.AccountStatementTest	accountstatementtest	1777157044010	 	3.3.1
USER	Account Statement Load	20	END	1777157044689	1777157045313
USER	Account Statement Load	49	END	1777157044700	1777157045313
REQUEST	1		account-statement	1777157044684	1777157045314	OK	 
REQUEST	34		account-statement	1777157044696	1777157045314	OK	 
USER	Account Statement Load	34	END	1777157044696	1777157045315
REQUEST	44		account-statement	1777157044699	1777157045316	OK	 
REQUEST	35		account-statement	1777157044705	1777157045310	OK	 
USER	Account Statement Load	35	END	1777157044696	1777157045317
REQUEST	63		account-statement	1777157044708	1777157045318	OK	 
REQUEST	38		account-statement	1777157044697	1777157045318	OK	 
USER	Account Statement Load	1	END	1777157044651	1777157045319
USER	Account Statement Load	63	END	1777157044708	1777157045319
USER	Account Statement Load	44	END	1777157044699	1777157045320
USER	Account Statement Load	38	END	1777157044697	1777157045321
REQUEST	21		account-statement	1777157044690	1777157045320	OK	 
USER	Account Statement Load	21	END	1777157044690	1777157045322
REQUEST	43		account-statement	1777157044699	1777157045323	OK	 
REQUEST	7		account-statement	1777157044683	1777157045324	OK	 
USER	Account Statement Load	43	END	1777157044699	1777157045324
REQUEST	4		account-statement	1777157044682	1777157045320	OK	 
USER	Account Statement Load	4	END	1777157044659	1777157045325
REQUEST	6		account-statement	1777157044699	1777157045322	OK	 
USER	Account Statement Load	6	END	1777157044660	1777157045326
REQUEST	36		account-statement	1777157044697	1777157045325	OK	 
REQUEST	17		account-statement	1777157044688	1777157045324	OK	 
USER	Account Statement Load	17	END	1777157044688	1777157045327
USER	Account Statement Load	36	END	1777157044696	1777157045328
USER	Account Statement Load	7	END	1777157044661	1777157045328
REQUEST	32		account-statement	1777157044695	1777157045329	OK	 
REQUEST	53		account-statement	1777157044703	1777157045330	OK	 
REQUEST	23		account-statement	1777157044690	1777157045330	OK	 
USER	Account Statement Load	53	END	1777157044702	1777157045331
REQUEST	25		account-statement	1777157044697	1777157045332	OK	 
USER	Account Statement Load	23	END	1777157044690	1777157045332
USER	Account Statement Load	25	END	1777157044696	1777157045332
REQUEST	198		account-statement	1777157044796	1777157045333	OK	 
REQUEST	55		account-statement	1777157044703	1777157045334	OK	 
USER	Account Statement Load	198	END	1777157044795	1777157045335
REQUEST	47		account-statement	1777157044700	1777157045336	OK	 
REQUEST	146		account-statement	1777157044772	1777157045337	OK	 
USER	Account Statement Load	55	END	1777157044703	1777157045335
USER	Account Statement Load	32	END	1777157044695	1777157045337
