ASSERTION	AAMAAQxsb2dpbi1ub3JtYWwDAAEEAAAAAAAAwFdAAQAAAAAAAECvQA==
ASSERTION	AAECAAIFAAAAAAAAAAAA
RUN	parabank.LoginTest	logintest	1777156495699	 	3.3.1
USER	Login - 100 Concurrentes	77	START	1777156497374	1777156497374
REQUEST	107		login-normal	1777156497021	1777156497365	OK	 
REQUEST	115		login-normal	1777156497042	1777156497377	OK	 
REQUEST	109		login-normal	1777156497027	1777156497377	OK	 
USER	Login - 100 Concurrentes	78	START	1777156497379	1777156497379
USER	Login - 100 Concurrentes	48	END	1777156497069	1777156497372
USER	Login - 100 Concurrentes	116	END	1777156497042	1777156497373
USER	Login - 100 Concurrentes	107	END	1777156497021	1777156497377
USER	Login - 100 Concurrentes	109	END	1777156497026	1777156497379
USER	Login - 100 Concurrentes	161	START	1777156497382	1777156497382
USER	Login - 100 Concurrentes	160	START	1777156497382	1777156497382
USER	Login - 100 Concurrentes	163	START	1777156497384	1777156497384
USER	Login - 100 Concurrentes	162	START	1777156497383	1777156497383
REQUEST	118		login-normal	1777156497046	1777156497381	OK	 
REQUEST	52		login-normal	1777156497112	1777156497387	OK	 
REQUEST	113		login-normal	1777156497034	1777156497385	OK	 
USER	Login - 100 Concurrentes	120	END	1777156497048	1777156497387
USER	Login - 100 Concurrentes	113	END	1777156497034	1777156497388
USER	Login - 100 Concurrentes	115	END	1777156497040	1777156497388
USER	Login - 100 Concurrentes	118	END	1777156497046	1777156497389
USER	Login - 100 Concurrentes	164	START	1777156497391	1777156497391
USER	Login - 100 Concurrentes	165	START	1777156497391	1777156497391
USER	Login - 100 Concurrentes	79	START	1777156497392	1777156497392
USER	Login - 100 Concurrentes	167	START	1777156497392	1777156497392
USER	Login - 100 Concurrentes	52	END	1777156497111	1777156497395
USER	Login - 100 Concurrentes	168	START	1777156497395	1777156497395
REQUEST	47		login-normal	1777156497067	1777156497398	OK	 
REQUEST	123		login-normal	1777156497085	1777156497399	OK	 
REQUEST	51		login-normal	1777156497099	1777156497400	OK	 
USER	Login - 100 Concurrentes	47	END	1777156497066	1777156497399
USER	Login - 100 Concurrentes	123	END	1777156497085	1777156497400
USER	Login - 100 Concurrentes	80	START	1777156497402	1777156497402
